Pos,EX Sample,Location,Barcode,Library Replicate,Extract concentration (ng/ul),Input DNA (ng) for library,DNA volume (ul) for Covaris,Water volume (ul) for Covaris,Adaptor concentration  (nM),Plate,Position,,,,
1,CDR1,M20_Car_Freezer,Fake_0001,L1,1.72,250.0,2.4,21.6,20,P003,4B,,,,
2,CDR2,M20_Car_Freezer,Fake_0002,L1,1.96,250.0,2.4,21.6,,,,,,,
3,CDR3,M20_Car_Freezer,Fake_0003,L1,2.12,250.0,2.4,21.6,,,,,,,
4,CDR4,M20_Car_Freezer,Fake_0004,L1,1.98,250.0,2.4,21.6,,,,,,,
5,CDR5,M20_Car_Freezer,Fake_0005,L1,1.73,250.0,6.0,18.0,,,,,,,
6,CDR6,M20_Car_Freezer,Fake_0006,L1,2.15,250.0,6.0,18.0,,,,,,,
7,CDR7,M20_Car_Freezer,Fake_0007,L1,2.16,250.0,6.0,18.0,,,,,,,
8,CDRN,M20_Car_Freezer,Fake_0008,L1,0,250.0,21.6,2.4,,,,,,,
9,KDR1,M20_Car_Freezer,Fake_0009,L1,1.24,250.0,12.0,12.0,,,,,,,
10,KDR2,M20_Car_Freezer,Fake_0010,L1,1.55,250.0,12.0,12.0,,,,,,,
11,KDR3,M20_Car_Freezer,Fake_0011,L1,1.21,250.0,12.0,12.0,,,,,,,
12,KDR4,M20_Car_Freezer,Fake_0012,L1,1.15,250.0,12.0,12.0,,,,,,,
13,KDR5,M20_Car_Freezer,Fake_0013,L1,0.571,250.0,24.0,0.0,,,,,,,
14,KDR6,M20_Car_Freezer,Fake_0014,L1,1.07,250.0,24.0,0.0,,,,,,,
15,KDR7,M20_Car_Freezer,Fake_0015,L1,1.29,250.0,24.0,0.0,,,,,,,
16,KDRN,M20_Car_Freezer,Fake_0016,L1,0,250.0,21.6,2.4,,,,,,,
